sentence,isHedge
"Creating value for shareholders by developing great products and services that enrich people's lives will always be our top priority, and the key factor driving our investments and capital allocation decisions.",0
"As our business continues to generate high levels of free cash flow, we are in the fortunate position to expand our capital return program again this year, as we have done each year since we started the program four years ago.",0
"Today, we are announcing an extension of the timeframe of the program by four quarters through March of 2018, and we are expanding the total program size from $200 billion to $250 billion.",0
Luca has more details on this announcement and our results for the March quarter.,0
Luca?,0
"Thank you, Tim, and good afternoon, everyone.",0
Let me start with the March quarter results.,0
"Revenue for the quarter landed within our guidance range at $50.6 billion, compared to $58 billion in the year-ago quarter, a decline of 13%.",0
"As we had expected, our comparisons to last year were influenced by the continued strength of the US dollar against foreign currencies.",1
"That being said, in constant currency, our revenue declined by 9%.",0
"On a geographic basis, in Asia, our revenue grew strongly in Japan, but it declined in greater China and the rest of Asia-Pacific.",0
However our business in these two regions is faring better than the numbers might suggest.,1
"We had significant channel inventory reductions and currency weakness, which affected our reported revenue for both of these segments.",0
"In mainland China, revenue was down 11%, and the decline was 7% in constant currency terms.",0
"Keep in mind that we were up against an extremely difficult year-ago compare, when our mainland China revenue grew 81%.",0
"We remain very optimistic about the China market over the long-term, and we are committed to investing there for the long run.",1
"Gross margin was 39.4%, near the high-end of our guidance range, thanks to strong cost performance.",0
"Operating margin was 27.7% of revenue, and net income was $10.5 billion.",0
"Diluted earnings per share were $1.90, and cash flow from operations was strong, at $11.6 billion.",0
"For details by product, I start with iPhone.",0
"We sold 51.2 million iPhones in the quarter, compared to 61.2 million in the year-ago quarter, a decline of 16%.",0
"It was a particularly challenging comparison to the record quarter a year ago, when iPhone 6 grew 40% as we entered last March quarter, and supply demand imbalance, which was recovered during the quarter.",0
"Also, this year we reduced channel inventory by 450,000 units, while we increased inventory by 1 million units a year ago.",0
We have exited the quarter with in our five to seven-week target range for channel  inventory.,1
"iPhone ASV was $642 compared to $659 in the year ago quarter, with weak international currencies and very popular mid-tier and entry offerings contributing to the difference year-over-year.",0
iPhone's momentum in business markets continues to be very impressive.,0
"A recent survey by 451 Research, formerly known as ChangeWave, found that among US corporate buyers planning to purchase smart phones in the June quarter, 78% planned to purchase iPhones.",0
That's the highest June quarter iPhone purchase intent ever measured by the survey and 5 points higher than a year ago.,0
"Turning to services, we generated $6 billion in revenue, an increase of 20% over the March quarter last year, thanks primarily to the continued strong performance of the App Store, with revenue growing 35% to a new all-time high.",0
"According to App Annie, the App Store generated 90% more global revenue than Google Play in the March quarter, up from a 75% lead in 2015.",0
"Among our customers who purchased apps and content from our iTunes Stores, the average amount spent per customer reached a new all-time record in the March quarter.",0
"Next, I'd like to talk about the Mac.",0
"We sold 4 million Macs compared to 4.6 million last year, a decline of 12%.",0
"It was a challenging quarter for personal computer sales across the industry, but we believe we gained market share.",1
"Despite the overall market slowdown, we generated double-digit market growth in a number of markets, including Russia, Korea, Singapore, Taiwan, and the UAE.",0
"Just last week, we updated the MacBook, our thinnest and lightest Mac, with the latest processors, faster graphics, fastest flash storage, and longer battery life.",0
We think our customers are going to love this update.,1
We ended the quarter within our four to five-week target range for Mac channel inventory.,0
"Turning to iPad, we sold 10.3 million compared to 12.6 million in the year ago quarter.",0
"We also reduced channel inventory by about 200,000 units, and we exited the quarter within our five to seven-week target range.",1
"In the same segments of the public market where we compete, we continue to be highly successful.",0
Recent data from NPD indicates that iPad had 78% share of the US market for tablets priced above $200.,0
"And the latest data published by ABC indicates that iPad accounts for 72% of the US commercial tablet market, comprising business, government, and education.",0
iPad customer metrics are also extremely positive.,0
"In February, 451 Research measured a 97% consumer satisfaction rate for iPad Air 2, and among consumers planning to purchase a tablet within the next six months, 59% planned to purchase an iPad, more than 3 times the purchase intention rate of the next highest brand measured.",0
"Corporate buyers reported a 94% satisfaction rate for iPad, and a June quarter purchase intent of 71%.",0
"Revenue from other products grew 30% over the last year, thanks to Apple Watch.",0
"We have expanded distribution to 60 countries, and introduced bands in beautiful new colors for spring, so customers can personalize their watches in more ways, with a range of colors, styles, and materials.",0
"Our customers are very happy with Apple Watch, with 451 Research measuring 94% customer satisfaction.",0
We're also making great progress with our enterprise initiatives.,1
IBM now has engagements for more than 200 deployments of native iOS apps for large enterprise customers to accelerate mobile transformation.,0
"Our mobility partner program also continues to grow, with 108 partners across 20 countries.",0
We see continued broad industry adoption of native iOS apps to transform how professionals do their work and serve their customers.,0
"For example, retail bankers are using iOS apps on iPads to greet and onboard customers, reduce queue times, and improve the customer experience.",0
"And in hospitals, using doctors and nurses are using iOS Apps on iPhone and iPad to share and communicate more effectively, so that they can spend more time with patients, and less time on administrative tasks.",0
Let me now turn to our cash positions.,0
"We ended the quarter with $232.9 billion in cash plus marketable securities, a sequential increase of $17.2 billion.",0
"$208.9 billion of this cash, or 90% of the total, was outside the United States.",0
"We issued $15.5 billion in US dollar denominated notes during the quarter, including our first green bond tranche to fund initiatives such as renewable energy and environmental design projects.",0
We exited the March quarter with $72 billion in term debt.,0
"We returned   $10 billion to investors during the quarter, including $2.9 billion in dividends and equivalents, and $7 billion on purchases of 71.8 million Apple shares, to open market transactions.",0
"We have now completed over $163 billion of the current $200 billion capital return program, including $117 billion in share repurchases.",0
"As Tim mentioned, today we are announcing the latest update to our program, which we are increasing to a total of $250 billion.",0
"Once again, we are allocating the majority of the expansion of the program to share repurchases, given our strong confidence in Apple's future, and the value we see in our stock.",1
"The Board has increased the share repurchase authorization by $35 billion, raising it from the current $140 billion level to $175 billion.",0
"We will also continue to net share settle, less the employee restricted stock units.",0
"We also know that the dividend is very important to many of our investors who value income, and we are raising it for the fourth time in less than four years.",0
"The quarterly dividend will grow from $0.52 per share to $0.57 per share, an increase of about 10%.",1
"This is effective with our next dividend, which the Board has declared today is payable on May 12, 2016, to shareholders of record as of May 9, 2016.",0
We continue to plan for annual dividend increases going forward.,1
"With $12 billion in annual dividend payments, we are proud to be one of the largest dividend payers in the world.",0
"In total, with this updated program, during the next eight quarters, we expect to return $87 billion to our investors, which represents about 15% of our market cap at the current stock price.",1
"As in the past, we expect to fund our capital return program with US cash, future US cash flow generation and borrowing from both domestic and international debt markets.",1
"We will continue to review capital allocation regularly, and solicit input on our program from a broad base of shareholders.",0
"This allows us to be thoughtful about the size, the mix, and the face of the program.",0
"As we move ahead into the June quarter, I'd like to review our outlook, which includes the types of forward-looking information that Nancy referred to at the beginning of the call.",1
We expect revenue to be between $41 billion and $43 billion.,1
"The revenue guidance implies a year-over-year decline, as we lap an incredibly strong June quarter last year, when revenue grew 33%, due in part to accelerated iPhone upgrade purchases.",0
"This tough compare is compounded by the continued weak macro environment this year, and the strong US dollar, which affects our revenue growth in international markets.",0
"Embedded in this guidance is a planned channel inventory reduction worth  over $2 billion, as we have elected to be prudent about our channel inventory position, given the current macro environment.",1
The guidance also reflects a range of possible scenarios related to how quickly we can get into supply-demand balance for iPhone SE.,1
"Due to these factors, our expected demand is greater than the revenue range implies.",1
"Sequentially, our guidance implies a revenue decline of 15% to 19%, which is comparable to the 17% sequential decline that we've averaged from the March to June quarter for the last three years, despite the anticipated channel inventory adjustments I just described.",1
"We expect seasonal sequential declines in iPhone and iPad sales, and a sequential increase in Mac sales.",1
"We also expect iPhone ASPs to decline sequentially as we get further from the launch of iPhone 6s and 6s Plus, and as iPhone SE enters the mix.",1
We know that our revenue guidance falls short of market estimates for the third quarter.,0
"We believe the difference counts primarily from three areas: First, the $2 billion plus channel inventory reduction I just mentioned.",1
"Second, the effect of the channel inventory reduction, and the launch of iPhone SE on iPhone ASPs, as well as the current constrained supply of iPhone SE.",0
"Third, different estimates for Mac, which we expect to grow sequentially at the rate similar to what we have experienced in the past June quarters.",1
We expect gross margins to be between 37.5% and 38%.,1
"We expect continued cost improvements to be more than offset by the sequential loss of leverage from lower revenue, and a differing mix of products.",1
We expect OpEx to be between $6 billion and $6.1 billion.,1
We expect OI&E to be about $300 million.,1
And we expect the tax rate to be about 25.5%.,1
"With that, I'd like to open the call to questions.",0
"Thank you, Luca.",0
"(Caller Instructions) Operator, may we have the first question, please?",0
Questions and Answers,0
"Simona, let me give you the data point on the sell through and then I'll let Tim answer the strategic question.",0
We had a channel inventory reduction that was worth a bit less than $800 million a year ago.,0
"Simona, this is Tim.",0
In terms of do I think the smart phone market is mature?,1
"I think that the market, as you know, is currently not growing.",1
"However, my view of that is that's an overhang of the macroeconomic environment in many different places in the world.",1
"We're very optimistic that this too shall pass, and that the market and particularly us will grow again.",1
"The reason that we're optimistic is we look at sort of the three places that iPhone sales come from, and from an upgrade point of view, as I mentioned in my comments, we compare favorably, slightly better than the upgrade cycle that we saw on the iPhone 5s.",0
"We are lower than the iPhone 6, but I think all of us know that was an extraordinary cycle, that accelerated upgrades from 2016 into 2015, and so that comparable will be tough for this year, but that's a transitory thing.",1
"As we look at switchers, we're extremely excited that for the first half we have set a record from switchers from other platforms.",1
"The largest we've ever seen in any six month period before, so we've got traction there.",0
"And then on emerging markets, if you take a look at India, we grew by 56%, and we're placing increasing emphasis in these areas, where it's clear there will be disproportionate growth versus the more developed areas.",1
"The next thing is with the iPhone SE, we have seen our ability to attract even more customers into the platform, with incredible product that is at a new price point for us, with the latest technology.",0
And so we're optimistic about attracting even more customers with that.,1
"We also look at our pipeline, and were very excited about what's in our pipeline.",1
All of those things make me optimistic.,1
"Your other question was on M&A, and regardless of the first, we're always looking in the market about things that could complement things that we do today, become features in something we to, or allow us to accelerate entry into a category that we are excited about.",1
"As I have said before, our test is not on the size.",0
We would definitely buy something larger than we have bought thus far.,1
"It's more about the strategic fit, and whether it's  a great technology and great people.",0
"We continue to look, and we stay very active in the M&A market.",0
Thank you.,0
Could we have the next question please?,1
I think the SE is attracting two types of customers.,1
"One is   customers that wanted the latest technology, but wanted it in a more compact package.",0
And we clearly see even more people than we thought in that category.,1
"Secondly, it's attracting people aspire to own an iPhone, but couldn't quite stretch to the entry price of the iPhone, and we've established a new entry.",0
"I think both of these markets are very, very important to us, and we are really excited about where it can take us.",1
"I do think that we will be really happy with the new to iPhone customers that we see from here, because of the early returns we've had.",1
"We are currently supply constrained, but we'll be able to work our way out of this at some point.",1
But it's great to see the overwhelming demand for it.,0
I will let Luca comment on the ASPs.,0
"On the ASPs, Gene we mentioned that we were going to be down sequentially, and this is really the combination of two factors.",0
"So when we go from the March quarter to the June quarter, is the fact that we are having the SE entering the mix, and that obviously is going to have a downward pressure on ASP, and also this channel inventory reduction that we have talked about, obviously the channel inventory reduction will come from higher-end models, and that is also affecting the sequential trend on ASPs.",1
"The question on services, when we look at our services business, obviously growing very well across the board.",0
"The biggest element, and the part of the services business that is growing very well, we mentioned 35%, is the App Store.",0
"It's interesting for us that our music business, which had been declining for a number of quarters, now that we have both a download model and a streaming model, we have now hit an inflection point, and we believe that this would be the bottom, and we can start growing from there over time.",1
"We have many other services businesses that are doing very well, we have an iCloud business that is growing very quickly.",0
"Faster than the App Store, from a much lower base but I think it's important for us as we continue to develop these businesses.",1
Tim have talked about Apple Pay.,0
"It doesn't provide a meaningful financial contribution at this point, but as we look at the amount of transactions that go into Apple Pay right now, and we think ahead for the long-term, that could be an interesting business for us, as well.",1
"From a profitability standpoint, we have mentioned last time that when you look at it on a gross basis, so in terms of purchase value of these services, the profitability of the business is similar to Company average.",0
"Of course, when you met out the amount that is paid to developers, and you look at it, in terms of what is reported in our P&L, obviously that business has a profitability that is higher than Company average.",0
"We don't get into the specifics of specific products or services, but it is very clear it is significantly higher than Company average.",1
"Thanks, Gene.",0
Could we have the next question please?,1
"Katy, clearly the commodity environment remains quite favorable, and we continue to expect cost improvements.",1
"The other dynamics that you have mentioned are still there, obviously what is different, and particularly as we look at it on a sequential basis coming out of the March quarter, we would have loss of leverage, and that obviously is going to have a negative impact on margins.",1
The other factor that's important to keep in mind is this different mix of products.,0
"Particularly when you look at iPhone, what I was mentioning to Gene earlier, I think we've got a couple of things that are affecting not only ASPs, but obviously, they also affects margins.",1
"And it's the fact that we have a channel inventory reduction at the top end of the range, and we've got the introduction of the iPhone SE at the entry level of the range.",0
"And so when you take into account those factors, those are the big elements that drive our guidance range right now.",0
"Katy, in the short term, let me just make a couple of comments on the developed markets, just to make sure this is clear.",0
"If you look at our installed base of iPhone today versus two years ago, it's increased by 80%.",1
"When you think about upgrade cycles, upgrade cycles would have varying rates on it.",1
"As I talked about on the comments, the iPhone 6s rate, upgrade rate is slightly higher than the iPhone 5s, but lower than the iPhone 6.",0
But the other multiplier in that equation is obviously the size of the installed base.,0
"The net of the idea is that I think there's still really, really good business in the developed markets, so I wouldn't want to write those off.",1
"It's our job to come up with great products that people desire, and also to continue to attract over Android switchers.",0
"With our worldwide share there's still quite a bit of room in the developed markets, as well.",0
"From an India point of view, if you look at India, and each country has a different story a bit, but the things that have held not only us back, perhaps, but some others as well, is that the LTE rollout with India just really begins this year.",1
So we will begin to see some really good networks coming on in India.,0
"That will unleash the power and capability of the iPhone, in a way that an older network, 2.5G or even some 3G networks, would not do.",1
"The infrastructure is one key one, and the second one is building the channel out.",0
"Unlike the US as an example, where the carriers in the US sell the vast majority of phones that are sold in the United States, in India, the carriers in general sell virtually no phones, and it is out in retail, and retail is many, many different small shops.",0
We've been in the process.,0
It's not something we just started in the last few weeks.,0
"We've been working in India now for a couple of years or more, but we've been working with great energy over the last 18 months or so, and I am encouraged by the results that we're beginning to see there, and believe there's a lot, lot more there.",1
"It is already the third largest smart phone market in the world, but because the smart phones that are working there are low-end, primarily because of the network and the economics, the market potential has not been as great there.",0
I  view India as where China was maybe 7 to 10 years ago from that point of view.,1
I think there's a really great opportunity there.,1
"Thank you, Katy.",0
Could we have the next question please?,1
"Toni, it's Tim.",1
Let me see if I can address your question.,1
"The channel inventory reduction that Luca referred to, the vast, vast majority of that is in iPhone.",0
That would affect the unit compare that you maybe thinking about.,1
"The iPhone SE, we are thrilled with the response that we've seen on it.",0
"It is clear that there is a demand there, even much beyond what we thought, and so that is really why we have the constraint that we have.",1
Do I think it will be like the iPad Mini?,1
"No, I don't think so.",1
I don't see that.,0
"I think the tablet market in general, one of the challenges with the tablet market is that the replacement cycle is materially different than in the smart phone market.",1
"As you probably know, we haven't had an issue in customer satisfaction on the iPad.",1
"It is incredibly high, and we haven't had an issue with usage of the iPad.",0
The usage is incredibly high.,0
"But the consumer behavior there is you tend to hold on for very long period of time, before an upgrade.",0
"We continue to be very optimistic on the iPad business, and as I have said in my remarks, we believe we are going to have the best compare for iPad revenue this quarter that we have quite some time.",1
"We will report back in July on that one, but I think iPhone has a particularly different kind of cycle to it than the tablet market.",1
There's a lot there.,0
"Let me just say I don't recall saying the things that you said I said about the upgrade cycle, so let me get that out of the way.",0
"Now let me describe without the specific numbers, the iPhone 6s upgrade cycle that we have measured for the first half of this year, so the first six months of our fiscal year to be precise, is slightly better than the rate that we saw with the iPhone 5s two years ago, but it's lower than the iPhone 6.",0
"I don't mean just a hair lower, it's a lot lower.",0
"Without giving you exact numbers, if we would have the same rate on 6s that we did 6, there would -- it will be time for a huge party.",1
It would be a huge difference.,1
"The great news from my point of view is, I think we are strategically positioned very well, because we have announced the SE, we are attracting customers that we previously didn't attract.",1
"That's really great, and this tough compare eventually isn't the benchmark.",0
"The install base is up 80% over the last two years, and so all of those I think bode well, and the switcher comments I made earlier, I wouldn't underestimate that, because that's very important for us in every geography.",1
Thanks for the question.,0
"Thanks, Toni.",0
Can we have the next question please?,0
"Shannon, thanks for the question.",0
"If you take greater China, we include Taiwan, Hong Kong, and mainland China in the greater China segment that you see reported on your data sheet.",0
"The vast majority of the weakness in the greater China region sits in Hong Kong, and our perspective on that is, it's a combination of the Hong Kong dollar being pegged to the US dollar, and therefore it carries the burden of the strength of the US dollar, and that has driven tourism, international shopping and trading down significantly compared to what it was in the year ago.",0
"If you look at mainland China, which is one that I am personally very focused on, we are down 11% in mainland China, on a reported basis.",0
"On a constant currency basis, we are only down 7%, and the way that we really look at the health or underlying demand is look at sell-through, and if you look at there, we were down 5%.",0
Keep in mind that is down 5% on comp a year ago that was up 81%.,0
"As I  back up from this and look at the larger picture, I think China is not weak, as has been talked about.",1
"I see China as -- may not have the wind at our backs that we once did, but it's a lot more stable than what I think is the common view of it.",1
We remain really optimistic on China.,0
We opened seven stores there during the quarter.,0
We are now at 35.,0
"We will open 5 more this quarter to achieve 40, which we had talked about before.",0
"And the LTE adoption continues to rise there, but it's got a long way ahead of it.",1
"And so we continue to be really optimistic about it, and just would ask folks to  look underneath the numbers at the details in them before concluding anything.",1
Thanks for the question.,0
It is Luca.,0
"Of course, we think about it.",1
"We think about it a lot, and so when you look at our results, for example, our OpEx for the quarter, for the March quarter was up 10%, which is the lowest rate that you have seen in years.",1
"And when you look within OpEx, you actually see two different dynamics.",0
"You see continued significant investments in research and development, because we really believe that's the future of the Company.",1
We continue to invest in initiatives and projects ahead of revenue.,0
We had a much broader portfolio that we used to have.,0
"We do much more in-house technology development than we used to do a few years ago, which we think is a great investment for us to make.",1
"And so that parts we didn't need to protect, and we want to continue to invest in the business, right?",0
"And then when you look at our SG&A portion of OpEx for the March quarter, it was actually down slightly.",0
"So obviously we think about it, and of course we look at our revenue trends, and we take measures accordingly.",1
"When you look at the guidance that we provided for the June quarter, that 10% year-over-year increase that I mentioned to you for the March quarter goes down to a range of 7% to 9% up, and again, the focus is on making investments in Road and continuing to run SG&A extremely tightly, and in a very disciplined way.",0
"As you know, our E2R, expense to revenue ratio, is around 10%.",1
"It's something that we are very proud of, it's a number that is incredibly competitive in our industry, and we want to continue to keep it that way.",0
"At the same time, we don't want to under-invest in the business.",0
"Thank you, Shannon.",0
Could we have the next question please?,1
"The most important thing for us, Steve, is that we want to have a great customer experience, so overwhelmingly, the thing that drives us are to embark on services that help that, and become a part of the ecosystem.",0
"The reality is that in doing so, we have developed a very large and profitable business in the services area, and so we felt last quarter and working up to that, that we should pull back the curtain so that people could -- our investors could see the services business, both in terms of the scale of it, and the growth of it.",1
"As we said earlier, the purchase value of the installed base services grew by 27% during the quarter, which was an acceleration over the previous quarter, and the value of it hit -- was just shy of $10 billion.",0
"It's huge, and we felt it was important to spell that out.",0
What we've seen is that it depends on what you compare it to.,0
"If you compare to the 5s, what we are seeing is the upgrade rate today is slightly higher, or that there are more people upgrading, if you will, in a similar time period, in terms of a rate, than the 5s.",1
"But if you compare to 6, you would clearly arrive at the opposite conclusion.",0
"I think it depends on people's reference points, and we thought it very important in this call to be very clear and transparent about what we're seeing.",1
"I think in retrospect, you could look at it and say, maybe the appropriate measure is more to the 5s, and I think everybody intuitively thought that the upgrades were accelerated with the 6, and in retrospect, when you look at the periods, they clearly were.",1
"Thanks, Steve.",0
"Could we have our next question, please?",1
"I think you're probably indirectly asking about our trough comment, if you will, from last quarter.",1
"And when we made that, we did not contemplate or comprehend that we were going to make a $2 billion-plus reduction in channel inventory during this quarter.",0
"So if you factor that in and look at true customer demand, which is the way that we look at internally, I think you'll find a much more reasonable comparison.",1
"Yes, Rod, these are new regulations, and we are in the processing of assessing them.",0
"Frankly from first read, we don't anticipate that they are going to have any material impact on our tax situation.",1
"Some of them relate to inversion transactions, obviously that's not an issue for us.",0
"Some of them are around internal debt financing, which is not something that we use, so we don't expect any issue there.",1
"As you know, we are the largest US taxpayer by a wide margin, and we already pay full US tax on all the profits from the sales that we make in the United States, so we don't expect them to have any impact on us on tax reform.",0
"I will let Tim continue to  provide more color, but we've been strong advocates for comprehensive corporate tax reform in this country.",0
We continue to do that.,0
"We think a reform of the tax code would have significant benefits for the entire US economy, and we remain optimistic that we are going to get to a point where we can see that tax reform enacted.",1
"At that point in time, of course, we would have much more flexibility around optimizing our capital structure, and around providing more return of capital to our investors.",1
"The only thing I would add, Rod, is I think there are a growing number of people in both parties that would like to see comprehensive reform, and so I'm optimistic that it will occur.",1
It's just a matter of when and that's difficult to say.,1
But I think most people do recognize that it is in the US's interest to do this.,0
"Thank you, Rod.",0
"A replay of today's call will be available for two weeks as a podcast on the iTunes Store, as webcast on Apple.com/investor and via telephone.",0
"And the numbers for the telephone replay are 888-203-1112, or 719-457-0820, and please enter confirmation code 7495552.",0
These replays will be available by approximately 5:00 PM Pacific time today.,1
"Members of the press with additional questions can contact Kristin Huguet at 408-974-2414, and financial analysts can contact Joan Hoover or me with additional questions.",0
"Joan is at 408-974-4570, and I am at 408-974-5420.",0
Thanks again for joining us.,0
